PF Rating,Team,Pos,Player,Prop,L10 Avg,L10 Diff,L5 Avg,L5 Diff,Odds,Streak,Matchup,2023,2024,H2H,L5,L10,L20,L30
34.6,CLE,PG,Ty Jerome,o18.5 PA,17.4,"'-1.1",16.2,"'-2.3","'-130",0,17,0/2,15/60,1/3,1/5,4/10,8/20,9/30
58,SA,PF,Keldon Johnson,o16.5 Pts,15.8,"'-0.7",17,0.5,"'-120",2,27,34/69,15/61,3/5,2/5,4/10,7/20,9/30
30.2,PHI,C,Andre Drummond,o1.5 Ast,1.5,0,1.4,"'-0.1","'+145",0,21,4/79,9/40,2/11,2/5,4/10,7/20,8/30
44.9,SA,PF,Keldon Johnson,o22.5 PR,20.7,"'-1.8",22.2,"'-0.3","'-110",2,26,27/69,14/61,3/5,3/5,4/10,7/20,8/30
39.8,SAC,PG,Devin Carter,o0.5 Steals,0.5,0,0.2,"'-0.3","'+150",0,29,0/0,5/22,0/0,1/5,4/10,4/20,5/22
53.6,LAC,PF,Kawhi Leonard,o23.5 Pts,21.8,"'-1.7",24,0.5,"'-115",1,22,36/68,5/23,4/5,2/5,4/10,5/20,7/30
55.1,LAC,PF,Kawhi Leonard,o26.5 PA,25,"'-1.5",26.8,0.3,"'-120",1,25,37/68,5/23,4/5,2/5,4/10,5/20,7/30
56.5,LAC,PG,James Harden,o25.5 Pts,25.5,0,31,5.5,"'-120",0,28,8/72,13/63,1/3,3/5,4/10,6/20,8/30
55,LAC,PG,James Harden,o31.5 PR,31.2,"'-0.3",36.6,5.1,"'-115",1,25,11/72,13/63,1/3,3/5,4/10,6/20,7/30
43.2,SA,PF,Keldon Johnson,o18.5 PA,17.5,"'-1",18.2,"'-0.3","'-125",2,28,36/69,13/61,3/5,2/5,4/10,7/20,8/30
26.8,SA,SG,Stephon Castle,o24.5 PA,20.5,"'-4",20.8,"'-3.7","'-114",0,2,0/0,12/63,1/1,1/5,4/10,7/20,8/30
45.8,MIA,SG,Tyler Herro,o0.5 Blocks,0.6,0.1,1,0.5,"'+300",0,5,3/41,11/62,2/13,3/5,4/10,7/20,8/30
41.2,CLE,SF,De'Andre Hunter,o0.5 Blocks,0.4,"'-0.1",0.4,"'-0.1","'+275",0,26,13/56,9/49,0/5,2/5,4/10,5/20,7/30
50.5,MIA,PG,Terry Rozier,o2.5 Reb,2.5,0,2.8,0.3,"'+115",0,13,46/61,38/57,5/7,2/5,3/10,10/20,17/30
48.1,CLE,PF,Dean Wade,o3.5 Reb,3,"'-0.5",2.2,"'-1.3","'-105",0,18,28/54,28/45,2/3,1/5,3/10,10/20,18/30
40.1,SAC,PF,Keegan Murray,o5.5 Reb,5,"'-0.5",4.8,"'-0.7","'-135",0,1,34/76,38/62,2/11,2/5,3/10,10/20,15/30
52.6,SA,PG,Chris Paul,o10.5 RA,9.2,"'-1.3",9.4,"'-1.1","'-125",2,23,25/57,38/64,3/4,2/5,3/10,9/20,14/30
58.7,DEN,PG,Russell Westbrook,o9.5 RA,8.7,"'-0.8",9.6,0.1,"'-127",0,22,28/68,35/59,2/7,2/5,3/10,8/20,17/30
39.1,SA,SG,Julian Champagnie,o12.5 PRA,12.2,"'-0.3",8.4,"'-4.1","'-125",0,4,32/73,37/64,1/3,0/5,3/10,4/20,9/30
53.7,CHA,PG,LaMelo Ball,o32.5 PA,23.8,"'-8.7",29,"'-3.5","'-117",1,25,11/22,24/42,4/4,2/5,3/10,8/20,15/30
41.8,SA,SG,Julian Champagnie,o11.5 PR,10.8,"'-0.7",7.6,"'-3.9","'-110",0,10,25/73,36/64,0/3,0/5,3/10,4/20,9/30
38.9,HOU,PG,Fred VanVleet,o21.5 PRA,19.3,"'-2.2",13.6,"'-7.9","'-114",0,30,56/73,26/47,3/7,0/5,3/10,9/20,15/30
38.4,HOU,PG,Fred VanVleet,o15.5 PR,14.8,"'-0.7",9.2,"'-6.3","'-125",0,29,51/73,26/47,2/7,0/5,3/10,10/20,16/30
63.7,MIN,SF,Jaden McDaniels,o0.5 Blocks,0.6,0.1,1,0.5,"'-121",1,29,27/71,37/67,3/5,2/5,3/10,9/20,17/30
43.2,CHA,PG,LaMelo Ball,o30.5 PR,22.7,"'-7.8",26.8,"'-3.7","'-110",0,26,12/22,23/42,2/4,2/5,3/10,6/20,13/30
34,BOS,SG,Jrue Holiday,o13.5 PA,10.8,"'-2.7",11.8,"'-1.7","'-115",0,13,53/69,27/50,14/17,2/5,3/10,7/20,13/30
66,MEM,PF,Jaren Jackson Jr.,o1.5 3PTM,1.3,"'-0.2",2,0.5,"'-110",0,23,35/66,32/59,2/3,2/5,3/10,10/20,15/30
58.2,IND,SF,Bennedict Mathurin,o6.5 RA,6.2,"'-0.3",6.8,0.3,"'+105",0,25,24/60,31/58,3/9,1/5,3/10,7/20,14/30
50.2,MEM,PF,Jaren Jackson Jr.,o7.5 RA,6.4,"'-1.1",5.6,"'-1.9","'-105",0,24,32/66,31/59,2/3,1/5,3/10,8/20,17/30
41.2,SA,SG,Julian Champagnie,o8.5 Pts,7.8,"'-0.7",5,"'-3.5","'-103",0,10,28/73,34/64,2/3,0/5,3/10,4/20,8/30
25.5,BOS,SG,Jrue Holiday,o18.5 PRA,15,"'-3.5",15.8,"'-2.7","'-105",0,16,50/69,26/50,14/17,2/5,3/10,7/20,13/30
57.5,CLE,C,Jarrett Allen,o12.5 RA,10.4,"'-2.1",12.6,0.1,"'-110",1,26,39/76,34/65,2/5,2/5,3/10,11/20,15/30
52.4,ORL,PF,Paolo Banchero,o6.5 Reb,6.5,0,7.8,1.3,"'-114",1,28,42/79,17/33,1/3,3/5,3/10,7/20,15/30
50.5,SA,PF,Harrison Barnes,o3.5 Reb,2.8,"'-0.7",3.4,"'-0.1","'-120",0,26,36/81,33/64,2/5,1/5,3/10,11/20,18/30
33.2,SA,C,Jeremy Sochan,o14.5 PA,12.2,"'-2.3",12.4,"'-2.1","'-110",1,5,38/74,23/44,2/5,2/5,3/10,7/20,12/30
